212	TH_10	(0)	20	0.000	0.000	1.000	0.000	0.000	0.000	0.000
213	TH_11	(0)	20	0.000	0.000	0.996	0.000	0.000	0.004	0.000
214	TapaN_001	(1)	21	0.000	0.000	0.000	0.981	0.018	0.000	0.001
215	TapaN_002	(0)	21	0.047	0.000	0.000	0.899	0.000	0.053	0.001
216	TapaN_003	(0)	21	0.010	0.000	0.000	0.941	0.000	0.000	0.049
217	TapaN_004	(0)	21	0.000	0.000	0.000	0.998	0.000	0.000	0.001
218	TapaN_005	(0)	21	0.000	0.000	0.000	0.962	0.002	0.002	0.033
219	TapaN_006	(2)	21	0.001	0.002	0.000	0.995	0.000	0.001	0.001
220	TapaN_007	(0)	21	0.077	0.000	0.000	0.922	0.000	0.000	0.000
221	TapaN_008	(0)	21	0.000	0.000	0.000	0.921	0.000	0.000	0.078
222	TapaN_009	(0)	21	0.015	0.001	0.000	0.930	0.009	0.017	0.028
223	TapaN_010	(1)	21	0.015	0.000	0.000	0.968	0.000	0.000	0.016
224	TapaN_011	(0)	21	0.005	0.000	0.004	0.933	0.000	0.056	0.001
225	TapaN_012	(0)	21	0.059	0.000	0.000	0.935	0.001	0.000	0.004
226	Tucs_01	(0)	22	0.869	0.011	0.008	0.078	0.000	0.033	0.002
227	Tucs_02	(0)	22	0.923	0.076	0.000	0.000	0.000	0.000	0.000
228	Tucs_03	(0)	22	0.998	0.000	0.000	0.000	0.000	0.000	0.001
229	Tucs_04	(0)	22	0.999	0.000	0.000	0.000	0.000	0.000	0.000
230	Tucs_05	(0)	22	0.883	0.000	0.000	0.082	0.000	0.033	0.000
231	Tucs_06	(0)	22	0.903	0.000	0.061	0.011	0.000	0.000	0.024
232	Tucs_07	(0)	22	0.808	0.001	0.001	0.107	0.001	0.037	0.046
233	Tucs_08	(1)	22	0.977	0.000	0.000	0.002	0.000	0.020	0.001
234	Tucs_09	(0)	22	0.985	0.000	0.013	0.001	0.000	0.001	0.000
235	Tucs_10	(0)	22	0.999	0.000	0.000	0.000	0.000	0.000	0.000
236	Tucs_11	(0)	22	0.999	0.000	0.000	0.000	0.000	0.000	0.000
237	Tucs_12	(0)	22	0.727	0.000	0.026	0.208	0.001	0.031	0.007
