219	TapaN_006	(2)	21	0.859	0.001	0.139	0.001
220	TapaN_007	(0)	21	0.923	0.012	0.065	0.000
221	TapaN_008	(0)	21	0.722	0.010	0.268	0.000
222	TapaN_009	(0)	21	0.824	0.004	0.171	0.001
223	TapaN_010	(1)	21	0.846	0.001	0.152	0.000
224	TapaN_011	(0)	21	0.802	0.096	0.102	0.000
225	TapaN_012	(0)	21	0.882	0.001	0.117	0.000
226	Tucs_01	(0)	22	0.916	0.006	0.013	0.065
227	Tucs_02	(0)	22	0.842	0.000	0.000	0.158
228	Tucs_03	(0)	22	0.984	0.001	0.005	0.010
229	Tucs_04	(0)	22	0.920	0.000	0.000	0.079
230	Tucs_05	(0)	22	0.959	0.001	0.001	0.040
231	Tucs_06	(0)	22	0.945	0.004	0.027	0.024
232	Tucs_07	(0)	22	0.911	0.002	0.055	0.032
233	Tucs_08	(1)	22	0.974	0.000	0.001	0.025
234	Tucs_09	(0)	22	0.965	0.001	0.000	0.033
235	Tucs_10	(0)	22	0.951	0.000	0.000	0.048
236	Tucs_11	(0)	22	0.944	0.000	0.000	0.056
237	Tucs_12	(0)	22	0.886	0.048	0.031	0.034
