166	Mar_013	(0)	16	0.340	0.038	0.002	0.002	0.059	0.052	0.122	0.385
167	Mar_02	(0)	16	0.398	0.021	0.000	0.000	0.112	0.128	0.213	0.128
168	NK_001	(12)	17	0.049	0.062	0.108	0.036	0.052	0.244	0.143	0.305
169	NK_002	(0)	17	0.033	0.051	0.041	0.000	0.049	0.072	0.194	0.559
170	NK_004	(2)	17	0.062	0.047	0.001	0.002	0.071	0.053	0.118	0.646
171	NK_006	(7)	17	0.109	0.042	0.047	0.002	0.079	0.087	0.143	0.492
172	NK_007	(0)	17	0.064	0.005	0.009	0.000	0.172	0.009	0.130	0.611
173	NK_008	(2)	17	0.092	0.085	0.027	0.000	0.066	0.040	0.176	0.514
174	NK_011	(3)	17	0.071	0.035	0.023	0.000	0.090	0.084	0.127	0.570
175	NK_012	(23)	17	0.012	0.081	0.154	0.059	0.139	0.090	0.155	0.310
176	NK_013	(2)	17	0.053	0.007	0.004	0.000	0.173	0.037	0.116	0.610
177	NK_016	(0)	17	0.044	0.060	0.001	0.002	0.037	0.095	0.144	0.617
178	NK_019	(0)	17	0.004	0.052	0.063	0.001	0.028	0.226	0.110	0.516
179	PR_045	(0)	18	0.103	0.071	0.010	0.015	0.127	0.059	0.206	0.409
180	PR_046	(0)	18	0.153	0.127	0.003	0.028	0.119	0.063	0.201	0.307
181	PR_047	(0)	18	0.114	0.071	0.000	0.030	0.121	0.043	0.262	0.358
182	PR_048	(0)	18	0.124	0.046	0.002	0.004	0.149	0.000	0.212	0.462
183	PR_049	(0)	18	0.134	0.088	0.001	0.029	0.096	0.003	0.201	0.448
184	PR_051	(0)	18	0.116	0.006	0.024	0.035	0.223	0.058	0.320	0.218
185	PR_052	(0)	18	0.047	0.030	0.001	0.002	0.249	0.117	0.304	0.250
186	PR_053	(0)	18	0.199	0.054	0.000	0.004	0.195	0.081	0.242	0.224
187	PR_054	(0)	18	0.096	0.078	0.000	0.031	0.168	0.075	0.271	0.281
188	PR_055	(0)	18	0.110	0.042	0.000	0.031	0.207	0.079	0.257	0.274
189	PR_056	(0)	18	0.125	0.046	0.008	0.029	0.156	0.013	0.202	0.421
190	PR_057	(0)	18	0.062	0.088	0.009	0.032	0.117	0.224	0.242	0.226
191	Sedh_001	(0)	19	0.006	0.029	0.556	0.000	0.001	0.020	0.060	0.329
192	Sedh_003	(0)	19	0.000	0.000	0.998	0.000	0.000	0.000	0.001	0.000
193	Sedh_004	(1)	19	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
194	Sedh_005	(0)	19	0.049	0.005	0.520	0.000	0.007	0.090	0.111	0.218
195	Sedh_006	(1)	19	0.000	0.000	0.999	0.000	0.000	0.000	0.000	0.000
196	Sedh_007	(1)	19	0.001	0.005	0.957	0.000	0.000	0.000	0.006	0.030
197	Sedh_009	(1)	19	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
198	Sedh_010	(3)	19	0.001	0.002	0.985	0.009	0.001	0.001	0.001	0.000
199	Sedh_011	(0)	19	0.007	0.018	0.660	0.001	0.005	0.000	0.057	0.252
200	Sedh_012	(1)	19	0.000	0.000	0.999	0.000	0.000	0.000	0.000	0.000
201	Sedh_013	(1)	19	0.034	0.020	0.742	0.001	0.008	0.093	0.074	0.029
202	Sedh_02	(0)	19	0.000	0.002	0.993	0.000	0.000	0.003	0.001	0.000
203	TH_01	(0)	20	0.001	0.015	0.000	0.806	0.178	0.000	0.000	0.000
204	TH_02	(0)	20	0.000	0.064	0.000	0.932	0.001	0.000	0.000	0.002
205	TH_03	(0)	20	0.000	0.001	0.000	0.998	0.000	0.000	0.000	0.000
206	TH_04	(0)	20	0.000	0.001	0.000	0.997	0.001	0.000	0.000	0.000
207	TH_05	(0)	20	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
208	TH_06	(0)	20	0.005	0.056	0.000	0.805	0.077	0.000	0.001	0.057
